Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,172,5,Some Random Commen with Id 0
1,0,6,6,6,Some Random Commen with Id 1
2,0,6,131,9,Some Random Commen with Id 2
3,0,6,196,4,Some Random Commen with Id 3
4,0,6,79,8,Some Random Commen with Id 4
5,1,7,2,8,Some Random Commen with Id 5
6,1,7,173,6,Some Random Commen with Id 6
7,1,7,181,9,Some Random Commen with Id 7
8,1,7,40,7,Some Random Commen with Id 8
9,1,7,67,4,Some Random Commen with Id 9
10,1,7,59,5,Some Random Commen with Id 10
11,1,7,151,5,Some Random Commen with Id 11
12,1,7,46,5,Some Random Commen with Id 12
13,2,4,135,5,Some Random Commen with Id 13
14,3,8,97,0,Some Random Commen with Id 14
15,3,8,140,6,Some Random Commen with Id 15
16,3,8,31,4,Some Random Commen with Id 16
17,5,3,50,3,Some Random Commen with Id 17
18,5,3,169,2,Some Random Commen with Id 18
19,5,3,92,0,Some Random Commen with Id 19
20,5,3,78,2,Some Random Commen with Id 20
21,5,3,149,9,Some Random Commen with Id 21
22,5,3,134,5,Some Random Commen with Id 22
23,5,3,162,6,Some Random Commen with Id 23
24,5,3,138,7,Some Random Commen with Id 24
25,5,3,195,3,Some Random Commen with Id 25
26,6,0,171,2,Some Random Commen with Id 26
27,6,0,92,9,Some Random Commen with Id 27
28,6,0,160,6,Some Random Commen with Id 28
29,6,0,195,6,Some Random Commen with Id 29
30,6,0,134,4,Some Random Commen with Id 30
31,9,5,75,4,Some Random Commen with Id 31
32,9,5,79,0,Some Random Commen with Id 32
33,9,5,173,0,Some Random Commen with Id 33
34,9,5,3,6,Some Random Commen with Id 34
35,9,5,54,2,Some Random Commen with Id 35
36,9,5,168,8,Some Random Commen with Id 36
37,10,0,171,2,Some Random Commen with Id 37
38,10,0,164,9,Some Random Commen with Id 38
39,11,9,172,9,Some Random Commen with Id 39
40,11,9,115,4,Some Random Commen with Id 40
41,11,9,108,4,Some Random Commen with Id 41
42,11,9,117,6,Some Random Commen with Id 42
43,11,9,82,5,Some Random Commen with Id 43
44,11,9,18,7,Some Random Commen with Id 44
45,11,9,191,4,Some Random Commen with Id 45
46,11,9,165,8,Some Random Commen with Id 46
47,12,6,64,0,Some Random Commen with Id 47
48,13,4,165,5,Some Random Commen with Id 48
49,13,4,124,8,Some Random Commen with Id 49
50,14,5,141,2,Some Random Commen with Id 50
51,14,5,106,8,Some Random Commen with Id 51
52,14,5,99,5,Some Random Commen with Id 52
53,14,5,52,5,Some Random Commen with Id 53
54,14,5,195,6,Some Random Commen with Id 54
55,14,5,135,4,Some Random Commen with Id 55
56,14,5,34,8,Some Random Commen with Id 56
57,14,5,39,6,Some Random Commen with Id 57
58,14,5,141,6,Some Random Commen with Id 58
59,15,1,12,7,Some Random Commen with Id 59
60,15,1,118,2,Some Random Commen with Id 60
61,15,1,148,0,Some Random Commen with Id 61
62,15,1,182,9,Some Random Commen with Id 62
63,15,1,36,0,Some Random Commen with Id 63
64,15,1,6,4,Some Random Commen with Id 64
65,15,1,80,3,Some Random Commen with Id 65
66,15,1,109,3,Some Random Commen with Id 66
67,15,1,49,5,Some Random Commen with Id 67
68,16,4,197,9,Some Random Commen with Id 68
